Title	Steam Rating	Trailer Link	Price
Tabletop Simulator	Overwhelmingly Positive	https://www.youtube.com/watch?v=lKZVGZEuCHo	$19.99 
Scythe: Digital Edition	Very Positive	https://www.youtube.com/watch?v=oE4EHZTVo74	$19.99 
Ticket to Ride	Very Positive	https://www.youtube.com/watch?v=rvEnbdTDsjA	$9.99 
Pummel Party	Very Positive	https://www.youtube.com/watch?v=oiYG0Ov5jKE	$14.99 
MONOPOLY PLUS	Mixed	https://www.youtube.com/watch?v=nh-wOBN-TgE	$9.99 
UNO	Very Positive	https://www.youtube.com/watch?v=5kJj18VDLBg	$14.99 
Clue/Cluedo: The Classic Mystery Game	Very Positive	https://www.youtube.com/watch?v=nZ6WT9GArh8	$11.99 
The Jackbox Party Pack 3	Overwhelmingly Positive	https://www.youtube.com/watch?v=B_ULE7TezoE	$24.99 
Talisman: Digital Edition	Mostly Positive	https://www.youtube.com/watch?v=bqmGmxzXKEY	$6.99 
