Title	Steam Rating	Trailer Link	Price
Go! Go! Nippon! ~My First Trip to Japan~	Very Positive	https://www.youtube.com/watch?v=V-XG6N6g0Pg	$9.99 
Analogue: A Hate Story	Overwhelmingly Positive	https://www.youtube.com/watch?v=Z249P7c3pRo	$9.99 
Danganronpa V3: Killing Harmony	Very Positive	https://www.youtube.com/watch?v=ezLOS6krBI0	$39.99 
Phoenix Wright: Ace Attorney Trilogy	Very Positive	https://www.youtube.com/watch?v=QY7EDGd_B50	$12.99 
WORLD END ECONOMiCA episode.01	Overwhelmingly Positive	https://www.youtube.com/watch?v=2rG0JBHfacg	$29.99 
STEINS GATE ELITE	Very Positive	https://www.youtube.com/watch?v=0y_21kBArcE	$59.99 
Hate Plus	Very Positive	https://www.youtube.com/watch?v=KAgT6lGwTiY	$9.99 
Marco & The Galaxy Dragon	Overwhelmingly Positive	https://www.youtube.com/watch?v=sxtFllXLlS0	$19.99 
planetarian ~the reverie of a little planet~	Overwhelmingly Positive	https://www.youtube.com/watch?v=6LiCBp8QPzQ	$9.99 
