Title	Steam Rating	Trailer Link	Price
Warsim: The Realm of Aslona	Very Positive	https://www.youtube.com/watch?v=_l8TCY3eREI	$7.99 
Choice of Robots	Overwhelmingly Positive	https://www.youtube.com/watch?v=v4NdYuuW1YE	$5.99 
Stories Untold	Very Positive	https://www.youtube.com/watch?v=SokHO_XlMnk	$9.99 
Cultist Simulator	Very Positive	https://www.youtube.com/watch?v=oODf9WS0UtU	$19.99 
Subsurface Circular	Very Positive	https://www.youtube.com/watch?v=PuoAd3c8ZMw	$5.99 
Choice of the Deathless	Very Positive	https://www.youtube.com/watch?v=cjj-RLIpmus	$3.99 
Hadean Lands	Positive	https://www.youtube.com/watch?v=y4spQ0wTYPg	$11.99 
Heroes Rise: The Prodigy	Very Positive	https://www.youtube.com/watch?v=QrkN-EUaoXQ	$3.99 
Heroes Rise: The Hero Project	Very Positive	https://www.youtube.com/watch?v=jxZ23lSWATo	$4.99 
