Title	Steam Rating	Trailer Link	Price
DJMAX RESPECT V	Very Positive	https://www.youtube.com/watch?v=icxKWxuirMc	$49.99 
The Jackbox Party Pack 5	Very Positive	https://www.youtube.com/watch?v=uuPY0_8CO6o	$29.99 
Biped	Very Positive	https://www.youtube.com/watch?v=sMSK-AoOsGg	$14.99 
The Jackbox Party Pack 6	Overwhelmingly Positive	https://www.youtube.com/watch?v=1W6cr9GnaRc	$29.99 
MONOPOLY PLUS	Mixed	https://www.youtube.com/watch?v=nh-wOBN-TgE	$14.99 
The Jackbox Party Pack 4	Very Positive	https://www.youtube.com/watch?v=lRh52wCMe4A	$24.99 
The Jackbox Party Pack	Very Positive	https://www.youtube.com/watch?v=miLYKDHPfnU	$24.99 
Overcooked! 2	Very Positive	https://www.youtube.com/watch?v=ZKNO0MsDV2k	$24.99 
UNO	Mostly Positive	https://www.youtube.com/watch?v=5kJj18VDLBg	$9.99 
