Title	Steam Rating	Trailer Link	Price
Bloons TD 6	Very Positive	https://www.youtube.com/watch?v=PvFaD6g6yzk	$9.99 
Plants vs. Zombies GOTY Edition	Overwhelmingly Positive	https://www.youtube.com/watch?v=CHAbHz8iYHc	$4.99 
Kingdom Rush	Overwhelmingly Positive	https://www.youtube.com/watch?v=olHyQclaSlA	$9.99 
Creeper World 3: Arc Eternal	Overwhelmingly Positive	https://www.youtube.com/watch?v=zM-SZscFQZ4	$14.99 
Defense Grid: The Awakening	Overwhelmingly Positive	https://www.youtube.com/watch?v=sSq83CAieLo	$9.99 
Orcs Must Die! 2	Very Positive	https://www.youtube.com/watch?v=b9NYR5KT8lI	$14.99 
GemCraft - Chasing Shadows	Overwhelmingly Positive	https://www.youtube.com/watch?v=_Pz8rWKOFqY	$9.99 
Mechs V Kaijus	Very Positive	https://www.youtube.com/watch?v=JcY1xZcngZA	$10.99 
Dungeon Defenders	Very Positive	https://www.youtube.com/watch?v=Kqt2XdHxpCg	$14.99 
